tweet,tweet_tokenized
"- Las campañas del PP y Más Madrid han sido muy buenas. Serán los dos partidos que más van a crecer en comparación a las últimas elecciones en Madrid.  - Podemos, un partido que nace en Madrid (con el movimiento de los indignados), parece que está condenado a quedar de 5to.","['campañas', 'pp', 'madrid', 'sido', 'buenas', 'dos', 'partidos', 'van', 'crecer', 'comparación', 'últimas', 'elecciones', 'madrid', 'podemos', 'partido', 'nace', 'madrid', 'movimiento', 'indignados', 'parece', 'condenado', 'quedar', 'to']"
"- Sería una lástima que Ciudadanos no llegue al 5%. Creo que es un partido que aporta mucho a la democracia española.  - Ángel Gabilondo, el candidato del PSOE, puede ser el candidato más aburrido que he visto en mucho tiempo.","['lástima', 'ciudadanos', 'llegue', 'creo', 'partido', 'aporta', 'democracia', 'española', 'ángel', 'gabilondo', 'candidato', 'psoe', 'puede', 'ser', 'candidato', 'aburrido', 'visto', 'tiempo']"
"En la campaña hubo muchas cosas que me parecen importantes resaltar: - Fue una campaña muy corta, pero donde todos los partidos fueron a jugárselo todo (Podemos y Ciudadanos lanzaron líderes nacionales para buscar mejorar sus resultados)","['campaña', 'muchas', 'cosas', 'parecen', 'importantes', 'resaltar', 'campaña', 'corta', 'partidos', 'jugárselo', 'podemos', 'ciudadanos', 'lanzaron', 'líderes', 'nacionales', 'buscar', 'mejorar', 'resultados']"
Hay dos cosas que espero hoy de las elecciones en Madrid:  1. Que Ayuso (PP) pueda ganar la mayoría sin depender de VOX para gobernar.  2. Que el resultado de Podemos sea tan bajo que Pablo Iglesias se plantee dejar la política.,"['dos', 'cosas', 'espero', 'hoy', 'elecciones', 'madrid', 'ayuso', 'pp', 'pueda', 'ganar', 'mayoría', 'depender', 'vox', 'gobernar', 'resultado', 'podemos', 'tan', 'bajo', 'pablo', 'iglesias', 'plantee', 'dejar', 'política']"
"En mi tesis de la universidad Bukele fue un caso de estudio.  Es un populista con rasgos autoritarios, que se esconde detrás de su imagen de Millennial “cool” que usa la gorra para atrás.","['tesis', 'universidad', 'bukele', 'caso', 'estudio', 'populista', 'rasgos', 'autoritarios', 'esconde', 'detrás', 'imagen', 'millennial', 'cool”', 'usa', 'gorra', 'atrás']"
"Vecino de Chacao,  HIDROCAPITAL informa una parada de 12 horas del sistema Tuy II. Todo nuestro municipio se ve afectado.   Fuente: @MonitorCiudad_  https://t.co/hjRZSNRBbF","['vecino', 'chacao', 'hidrocapital', 'informa', 'parada', 'horas', 'sistema', 'tuy', 'ii', 'municipio', 've', 'afectado', 'fuente', 'monitorciudad']"
"Quiero desearle mi más sentido pésame a la familia y los amigos de Gonzalo Ciffoni.  Gonzalo era el coordinador de Primero Justicia Chacao cuando entré al partido, con él compartí y aprendí muchas cosas.  Que descanse en paz.  https://t.co/RWpyCQXTe7","['quiero', 'desearle', 'pésame', 'familia', 'amigos', 'gonzalo', 'ciffoni', 'gonzalo', 'coordinador', 'primero', 'justicia', 'chacao', 'entré', 'partido', 'compartí', 'aprendí', 'muchas', 'cosas', 'descanse', 'paz']"
"Muy triste por la muerte del profesor Andrés Stambouli por culpa del COVID 19.  Tuve el honor de ser su alumno, poder leerlo y recibir sus clases es un privilegio que siempre llevaré conmigo.  Que en paz descanse.","['triste', 'muerte', 'profesor', 'andrés', 'stambouli', 'culpa', 'covid', 'honor', 'ser', 'alumno', 'poder', 'leerlo', 'recibir', 'clases', 'privilegio', 'siempre', 'llevaré', 'conmigo', 'paz', 'descanse']"
Desde @ChacaoPJ fijamos posición  sobre la decisión de la Alcaldía de Chacao respecto al tema del pago de la tarifa del aseo urbano.  Soluciones y transparencia para los problemas de nuestros vecinos.  https://t.co/ob1raWHTuK,"['chacaopj', 'fijamos', 'posición', 'decisión', 'alcaldía', 'chacao', 'respecto', 'tema', 'pago', 'tarifa', 'aseo', 'urbano', 'soluciones', 'transparencia', 'problemas', 'vecinos']"
"Hoy en el día de la tierra, desde @ChacaoPJ reafirmamos nuestro compromiso con el medio ambiente y seguiremos trabajando para que Chacao sea un municipio sostenible y referencia en Venezuela.  https://t.co/cNyTeG2doV","['hoy', 'día', 'tierra', 'chacaopj', 'reafirmamos', 'compromiso', 'medio', 'ambiente', 'seguiremos', 'trabajando', 'chacao', 'municipio', 'sostenible', 'referencia', 'venezuela']"
"Hoy nuestro único escudo, ante un sistema de salud en las ruinas, es la prevención. Y hasta eso lo están satanizando, metiendo presos a jóvenes que estaban desinfectando sus comunidades.  ¡Exigimos su liberación! #PrevenirElCovidNoEsDelito","['hoy', 'único', 'escudo', 'sistema', 'salud', 'ruinas', 'prevención', 'satanizando', 'metiendo', 'presos', 'jóvenes', 'desinfectando', 'comunidades', '¡exigimos', 'liberación', 'prevenirelcovidnoesdelito']"
